lon;lat;species;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
71.21700287;18.45000076;Ophiothela mirabilis;931095;7.40E-05;35.35699844;8.06099987;28.18300056;3.138999939;0.406515837;1
147.533;-18.8;Ophiothela mirabilis;2541211;0.000778;35.07300186;8.458999634;26.38899994;5.745999813;0.227930069;1
79;8.5;Ophiothela mirabilis;1363189;0.000185;34.19200134;8.105999947;28.4489994;2.920000076;0.004361329;1
153.133;-26.683;Ophiothela mirabilis;2883278;0.001482;35.20199966;8.357999802;23.77499962;6.684000015;0.296416909;1
45.298332;-12.751667;Ophiothela mirabilis;2280784;0.001016;34.85400009;8.196000099;28.24399948;4.475999832;0.006872084;1
145.463;-14.6981;Ophiothela mirabilis;2364786;0.000844;35.02099991;8.411999702;26.79299927;5.850999832;0.090535223;1
130.83299;-12.3833;Ophiothela mirabilis;2263810;0.015958;34.51800156;8.218999863;29.42000008;6.751999855;0.134272769;1
158.284332;-19.4695;Ophiothela mirabilis;2570140;0.004977;35.10900116;8.331000328;25.9090004;4.392000198;0.008919886;1
114.892;-21.0317;Ophiothela mirabilis;2638019;0.00016;35.15100098;8.277999878;26.38500023;5.989999771;0.279086471;1
151.633;-33.166;Ophiothela mirabilis;3160460;0.000754;35.4679985;8.317000389;21.34300041;10.61400032;0.503478825;1
121.786;-15.0945;Ophiothela mirabilis;2382502;0.000162;34.76399994;8.229999542;28.93000031;4.221000195;0.321423352;1
92.816666;11.116667;Ophiothela mirabilis;1248154;8.50E-05;32.50600052;8.194000244;29.12599945;3.338000059;0.00436134;1
113.9039;-21.9733;Ophiothela mirabilis;2677607;0.001519;35.04999924;8.284999847;25.4260006;5.43599987;0.093143441;1
114.7345;-33.98185;Ophiothela mirabilis;3196017;8.00E-05;35.76599884;8.281000137;20.27799988;3.312000036;0.201078802;1
132.082;-11.065;Ophiothela mirabilis;2206225;0.006795;34.25799942;8.210000038;29.00200081;5.827000141;0.131607056;1
80.3;13.1;Ophiothela mirabilis;1161604;0.001278;32.9679985;8.012999535;28.73699951;3.09800005;0.167572454;1
116.4463;-20.6185;Ophiothela mirabilis;2620038;0.00398;35.55799866;8.276000023;26.80699921;8.659999847;0.147805423;1
92.6;11.5;Ophiothela mirabilis;1233752;0.000572;32.48899841;8.194999695;29.25;2.244999886;0.292742401;1
153.4;-29.933;Ophiothela mirabilis;3023681;0.000359;35.36600113;8.328000069;22.5909996;5.581999779;0.322259337;1
166.433;-22.266;Ophiothela mirabilis;2692638;0.0011;35.33800125;8.272999763;24.88899994;5.816999912;0.198330969;1
39.97;-3.37;Ophiothela mirabilis;1873920;0.000227;35.08100128;8.208000183;27.42200089;3.993999958;0.26237908;1
159.07166;-31.50333;Ophiothela mirabilis;3092149;0.000204;35.61899948;8.291999817;21.71299934;5.789000034;0.005794185;1
113.409;-24.0137;Ophiothela mirabilis;2767601;0.000487;35.26599884;8.30700016;23.92900085;4.859000206;0.145162359;1
116.5663;-20.6518;Ophiothela mirabilis;2620039;0.005441;35.57400131;8.276000023;26.86000061;9.170000076;0.146194369;1
31.7670002;-29.43300056;Ophiothela mirabilis;3000622;0.000421;35.44900131;8.234999657;23.85400009;5.539000034;0.11448402;1
43.3071;11.95947;Ophiothela mirabilis;1211560;0.000153;36.53300095;8.137999535;29.31200027;5.297999859;0.004361238;1
117.333;-20.4833;Ophiothela mirabilis;2612848;0.001668;35.61100006;8.274999619;26.90299988;8.371999741;0.128419042;1
86.53333333;19.78333333;Ophiothela mirabilis;873679;0.001173;28.63100052;8.175000191;28.06500053;4.802000046;0.005334462;1
161.018173;-20.548166;Ophiothela mirabilis;2616973;5.30E-05;35.29800034;8.289999962;25.49900055;4.93900013;0.281512409;1
162.3329926;11.35000038;Ophiothela mirabilis;1238188;0.000259;34.33499908;8.256999969;28.47699928;2.506000042;0.082569622;1
150.916;-23.583;Ophiothela mirabilis;2746451;0.051112;35.07300186;8.423999786;24.93000031;9.37899971;0.245558739;1
153.75;-28.866;Ophiothela mirabilis;2976886;8.90E-05;35.30099869;8.331999779;23.90299988;5.714000225;0.089803308;1
101.56925;12.55313889;Ophiothela mirabilis;1187059;0.00221;31.36000061;8.298000336;29.77099991;3.427999973;0.116937324;1
152.3355;-10.69533333;Ophiothela mirabilis;2192069;0.049224;34.80500031;8.345000267;28.67099953;3.244999886;0.004414857;1
145.27277;-14.85055;Ophiothela mirabilis;2371984;0.0048;35.02399826;8.411999702;26.79000092;6.723999977;0.099569939;1
130.817;-12.4167;Ophiothela mirabilis;2267410;0.013778;34.51599884;8.218999863;29.50900078;6.702000141;0.158157825;1
116.5698;-20.4626;Ophiothela mirabilis;2612839;0.001642;35.56100082;8.274999619;26.99399948;7.584000111;0.186359733;1
145.45;-14.816;Ophiothela mirabilis;2368386;0.000723;35.02099991;8.413000107;26.77899933;5.947999954;0.089924887;1
92.01666667;12;Ophiothela mirabilis;1212145;6.00E-05;32.51900101;8.194000244;29.09300041;2.963999987;0.004361367;1
90;15;Ophiothela mirabilis;1082521;6.00E-05;32.52500153;8.175000191;28.77400017;3.08100009;0.004361333;1
-79.51699829;8.967000008;Ophiothela mirabilis;1339686;0.004291;31.16600037;8.022000313;28.88999939;3.483999968;0.680863917;1
147.68407;-18.83482;Ophiothela mirabilis;2544813;0.001518;35.07300186;8.458999634;26.22100067;5.68200016;0.254133999;1
113.4867;-22.4666;Ophiothela mirabilis;2699202;7.50E-05;35.06399918;8.288999557;25.33699989;5.416999817;0.004356894;1
150.96055;-23.1761;Ophiothela mirabilis;2732052;0.00229;35.07699966;8.423999786;24.43199921;8.258999825;0.241196573;1
-63.263246;17.627686;Ophiothela mirabilis;965481;6.10E-05;35.36899948;8.199000359;27.80400085;3.270999908;0.004598334;1
-38.516667;-12.983333;Ophiothela mirabilis;2286978;0.002206;37.10200119;8.072999954;27.38800049;3.401000023;0.072961189;1
-113.505;29.093333;Ophiothela mirabilis;468078;0.000303;35.12900162;8.227000237;22.11300087;13.62800026;0.004377807;1
-113.491389;29.039444;Ophiothela mirabilis;471679;0.000331;35.11999893;8.227999687;22.04199982;13.59700012;0.00437779;1
-113.475161;28.96835;Ophiothela mirabilis;475279;0.000259;35.10900116;8.229000092;22.0890007;13.68900013;0.011384538;1
-113.506111;29.014722;Ophiothela mirabilis;471678;0.000243;35.11800003;8.227000237;21.74600029;13.15400028;0.428014666;1
-113.5075;28.992222;Ophiothela mirabilis;475278;0.000748;35.10800171;8.225999832;22.31999969;13.28600025;0.224704355;1
-96.555167;15.660783;Ophiothela mirabilis;1051482;0.00036;34.26100159;8.220000267;29.125;3.592999935;0.004361334;1
-95.57493;15.939306;Ophiothela mirabilis;1037094;0.00037;34.29499817;8.215000153;28.68000031;4.34100008;0.356712431;1
