"lon";"lat";"species";"reference"
145.46282;-14.698128;"Ophiothela mirabilis";"GBIF"
40.3915;-22.31538;"Ophiothela mirabilis";"GBIF"
40.29169;-22.40263;"Ophiothela mirabilis";"GBIF"
-38.53385;-13.003662;"Ophiothela mirabilis";"GBIF"
113.409;-24.014;"Ophiothela mirabilis";"GBIF"
113.41;-24.01;"Ophiothela mirabilis";"GBIF"
-41.877584;-22.740636;"Ophiothela mirabilis";"GBIF"
-41.904272;-22.755966;"Ophiothela mirabilis";"GBIF"
-41.877611;-22.741686;"Ophiothela mirabilis";"GBIF"
-40.35;-20.666667;"Ophiothela mirabilis";"GBIF"
147.684067;-18.834817;"Ophiothela mirabilis";"GBIF"
-43.087533;-22.98675;"Ophiothela mirabilis";"GBIF"
167.0275;-20.763333;"Ophiothela mirabilis";"GBIF"
167.018333;-20.791667;"Ophiothela mirabilis";"GBIF"
167.118333;-20.791667;"Ophiothela mirabilis";"GBIF"
167.035;-20.91;"Ophiothela mirabilis";"GBIF"
152.3355;-10.695333;"Ophiothela mirabilis";"GBIF"
152.523833;-10.627833;"Ophiothela mirabilis";"GBIF"
178.460333;-18.8475;"Ophiothela mirabilis";"GBIF"
178.538667;-18.706833;"Ophiothela mirabilis";"GBIF"
123.3717;-11.9633;"Ophiothela mirabilis";"GBIF"
127.848;26.5;"Ophiothela mirabilis";"GBIF"
125.6167;-13.9333;"Ophiothela mirabilis";"GBIF"
125.4167;-14.3666;"Ophiothela mirabilis";"GBIF"
125.2167;-14.2833;"Ophiothela mirabilis";"GBIF"
127.877;26.5067;"Ophiothela mirabilis";"GBIF"
105.5328;-10.5126;"Ophiothela mirabilis";"GBIF"
130.833333;-12.383333;"Ophiothela mirabilis";"GBIF"
130.816667;-12.416667;"Ophiothela mirabilis";"GBIF"
122.981667;-12.241667;"Ophiothela mirabilis";"GBIF"
127.713;26.435;"Ophiothela mirabilis";"GBIF"
152.066;-32.616;"Ophiothela mirabilis";"GBIF"
132.088333;-11.07;"Ophiothela mirabilis";"GBIF"
132.175;-11.241667;"Ophiothela mirabilis";"GBIF"
132.088333;-11.053333;"Ophiothela mirabilis";"GBIF"
132.175;-11.243333;"Ophiothela mirabilis";"GBIF"
132.063333;-11.175;"Ophiothela mirabilis";"GBIF"
132.081667;-11.065;"Ophiothela mirabilis";"GBIF"
132.093333;-11.058333;"Ophiothela mirabilis";"GBIF"
127.852;26.4;"Ophiothela mirabilis";"GBIF"
121.8412;-13.9352;"Ophiothela mirabilis";"GBIF"
120.75;21.816;"Ophiothela mirabilis";"GBIF"
118.45;-18.9;"Ophiothela mirabilis";"GBIF"
119.3352;-17.2516;"Ophiothela mirabilis";"GBIF"
119.3706;-17.264;"Ophiothela mirabilis";"GBIF"
119.45;-18.4666;"Ophiothela mirabilis";"GBIF"
147.27;-9.53;"Ophiothela mirabilis";"GBIF"
-79.53;8.78;"Ophiothela mirabilis";"GBIF"
162.33;11.35;"Ophiothela mirabilis";"GBIF"
151.916;-23.45;"Ophiothela mirabilis";"GBIF"
130.8;-12.45;"Ophiothela mirabilis";"GBIF"
125.616667;9.816667;"Ophiothela mirabilis";"GBIF"
178.22;-17.3;"Ophiothela mirabilis";"GBIF"
36.359339;-23.883161;"Ophiothela mirabilis";"GBIF"
35.3;-24.77;"Ophiothela mirabilis";"GBIF"
34.98;-24.8;"Ophiothela mirabilis";"GBIF"
31.77;-29.43;"Ophiothela mirabilis";"GBIF"
31.58;-29.35;"Ophiothela mirabilis";"GBIF"
