lon;lat;species;reference;cells;BO_calcite;BO_salinity;BO_ph;BO_sstmean;BO_sstrange;BO2_chlomean_bdmax;sp
-54.97;6.75;Carijoa riisei;GBIF;1437181;0.001823;31.08200073;8.13599968;27.82699966;2.217000008;0.351751715;1
-54.97;6.375;Carijoa riisei;GBIF;1451581;0.009703;30.60099983;8.123999596;27.82099915;2.323999882;0.353595972;1
-55.0917;6.38;Carijoa riisei;GBIF;1451579;0.009106;30.67700005;8.119000435;27.79199982;2.405999899;0.372860879;1
-55.42;6.82;Carijoa riisei;GBIF;1433575;0.001013;31.39699936;8.123999596;27.86000061;2.367000103;0.364361227;1
-56.23;6.9;Carijoa riisei;GBIF;1429966;0.000617;31.88599968;8.100000381;27.90500069;2.368999958;0.278094709;1
-48.17;2.23;Carijoa riisei;GBIF;1631662;0.000472;33.86600113;7.738999844;28.18400002;1.18900001;0.259881526;1
-47.52;1.83;Carijoa riisei;GBIF;1649670;0.001018;34.38100052;7.747000217;27.91600037;1.23300004;0.199794114;1
-53;5.85;Carijoa riisei;GBIF;1473205;0.003338;29.86599922;8.12899971;28.04800034;1.916000009;0.384050608;1
-47.47;1.83;Carijoa riisei;GBIF;1649671;0.000246;34.45700073;7.761000156;27.90399933;1.271999955;0.199310005;1
-48.23;2.58;Carijoa riisei;GBIF;1617262;0.000208;34.02399826;7.818999767;28.04000092;1.246999979;0.250829965;1
-49.3;2.57;Carijoa riisei;GBIF;1617249;0.018594;32.4980011;7.688000202;28.8239994;1.398000002;0.286561728;1
-82.9167;24.4;Carijoa riisei;GBIF;673645;0.000251;36.35200119;8.194999695;26.77799988;6.728000164;0.041309942;1
